"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 01:05:17 GMT 2024","Tue Mar 26 01:05:17 GMT 2024","3","","Testes de Registro de Restaurante","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest$registrarRestaurante","deveLancarExcecaoAoSalvarRestauranteComNomeVazio","deveLancarExcecaoAoSalvarRestauranteComNomeVazio()",""
"passed","Tue Mar 26 01:05:17 GMT 2024","Tue Mar 26 01:05:17 GMT 2024","4","","Testes de Busca de Restaurante","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest$buscarRestaurante","devePermitirBuscarTodosRestaurantes","devePermitirBuscarTodosRestaurantes()",""
"passed","Tue Mar 26 01:05:16 GMT 2024","Tue Mar 26 01:05:16 GMT 2024","4","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceTest","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceTest","deveRemoverReservaComSucesso","deveRemoverReservaComSucesso()",""
"passed","Tue Mar 26 01:05:26 GMT 2024","Tue Mar 26 01:05:26 GMT 2024","41","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest.findAll","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest$findAll","deveLancarExceptionAoMandarRestauranteInexistente","deveLancarExceptionAoMandarRestauranteInexistente()",""
"passed","Tue Mar 26 01:05:26 GMT 2024","Tue Mar 26 01:05:26 GMT 2024","32","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest.findById","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest$findById","deveRetornarReservaComSucesso","deveRetornarReservaComSucesso()",""
"passed","Tue Mar 26 01:05:18 GMT 2024","Tue Mar 26 01:05:18 GMT 2024","8","","Testes de Busca de Restaurante","","com.techchallenge.restaurant.api.findfood.controller.RestauranteControllerTest$buscarRestaurante","devePermitirBuscarTodosRestaurantes","devePermitirBuscarTodosRestaurantes()",""
"passed","Tue Mar 26 01:05:17 GMT 2024","Tue Mar 26 01:05:17 GMT 2024","4","","Testes de Busca de Restaurante","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest$buscarRestaurante","deveLancarExcecaoAoBuscarNomeRestauranteInexistente","deveLancarExcecaoAoBuscarNomeRestauranteInexistente()",""
"passed","Tue Mar 26 01:05:13 GMT 2024","Tue Mar 26 01:05:14 GMT 2024","720","","Testes de Busca de Restaurante","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceIntegrationTest$buscarRestaurante","devePermitirBuscarRestaurantePorNome","devePermitirBuscarRestaurantePorNome()",""
"passed","Tue Mar 26 01:05:14 GMT 2024","Tue Mar 26 01:05:14 GMT 2024","15","","Testes de Busca de Restaurante","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceIntegrationTest$buscarRestaurante","deveLancarExcecaoAoBuscarTipoCozinhaRestauranteInexistente","deveLancarExcecaoAoBuscarTipoCozinhaRestauranteInexistente()",""
"passed","Tue Mar 26 01:05:16 GMT 2024","Tue Mar 26 01:05:16 GMT 2024","4","","Testes de Busca de Restaurante","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest$buscarRestaurante","devePermitirBuscarRestaurantePorTipoCozinha","devePermitirBuscarRestaurantePorTipoCozinha()",""
"passed","Tue Mar 26 01:05:27 GMT 2024","Tue Mar 26 01:05:27 GMT 2024","14","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerTest","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerTest","deveReservarMesaComSucesso","deveReservarMesaComSucesso()",""
"passed","Tue Mar 26 01:05:26 GMT 2024","Tue Mar 26 01:05:26 GMT 2024","90","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest.reservarMesa","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest$reservarMesa","deveLancarExceptionAoTentarReservarEmRestauranteQueNaoPossuiMesasDisponiveis","deveLancarExceptionAoTentarReservarEmRestauranteQueNaoPossuiMesasDisponiveis()",""
"passed","Tue Mar 26 01:05:25 GMT 2024","Tue Mar 26 01:05:25 GMT 2024","18","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerTest","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerTest","deveRegistrarAvaliacaoComSucesso","deveRegistrarAvaliacaoComSucesso()",""
"passed","Tue Mar 26 01:05:27 GMT 2024","Tue Mar 26 01:05:27 GMT 2024","2","","com.techchallenge.restaurant.api.findfood.FindFoodApplicationTest","","com.techchallenge.restaurant.api.findfood.FindFoodApplicationTest","contextLoads","contextLoads()",""
