"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 21 00:10:24 BRT 2024","Thu Mar 21 00:10:25 BRT 2024","814","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","deveLancarExceptionAoTentarReservarMesaEmRestauranteQueNaoExiste","deveLancarExceptionAoTentarReservarMesaEmRestauranteQueNaoExiste()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","5","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","deveLancarExcecaoAoAtualizarRestauranteInexistente","deveLancarExcecaoAoAtualizarRestauranteInexistente()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","234","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceTest.findAll","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceTest$findAll","deveLancarExceptionAoTentarEncontrarAvalicoesEmRestauranteQueNaoExiste","deveLancarExceptionAoTentarEncontrarAvalicoesEmRestauranteQueNaoExiste()",""
"passed","Thu Mar 21 00:01:45 BRT 2024","Thu Mar 21 00:01:45 BRT 2024","616","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerIntegrationTest.registrarAvaliacao","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerIntegrationTest$registrarAvaliacao","deveLancarExceptionQuandoTentarRegistrarAvaliacaoComPontuacaoMaiorQue5","deveLancarExceptionQuandoTentarRegistrarAvaliacaoComPontuacaoMaiorQue5()",""
"passed","Thu Mar 21 00:01:55 BRT 2024","Thu Mar 21 00:01:56 BRT 2024","831","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest.findById","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest$findById","deveRetornarReservaComSucesso","deveRetornarReservaComSucesso()",""
"broken","Thu Mar 21 00:11:12 BRT 2024","Thu Mar 21 00:11:12 BRT 2024","2","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerTest","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerTest","deveRetornarTodasAsAvaliacoesComSucesso","deveRetornarTodasAsAvaliacoesComSucesso()",""
"broken","Thu Mar 21 00:11:12 BRT 2024","Thu Mar 21 00:11:12 BRT 2024","7","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerTest","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerTest","deveRegistrarAvaliacaoComSucesso","deveRegistrarAvaliacaoComSucesso()",""
"passed","Thu Mar 21 00:10:23 BRT 2024","Thu Mar 21 00:10:23 BRT 2024","469","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","deveLancarExceptionAoTentarReservarMesaComRestauranteNaoEncontrado","deveLancarExceptionAoTentarReservarMesaComRestauranteNaoEncontrado()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","5","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","deveLancarExcecaoAoBuscarNomeRestauranteInexistente","deveLancarExcecaoAoBuscarNomeRestauranteInexistente()",""
"passed","Thu Mar 21 00:10:43 BRT 2024","Thu Mar 21 00:10:43 BRT 2024","616","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceIntegrationTest.findAll","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceIntegrationTest$findAll","deveLancarExceptionAoTentarEncontrarAvalicoesEmRestauranteQueNaoExiste","deveLancarExceptionAoTentarEncontrarAvalicoesEmRestauranteQueNaoExiste()",""
"passed","Thu Mar 21 00:10:47 BRT 2024","Thu Mar 21 00:10:49 BRT 2024","2054","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceIntegrationTest.registrarAvaliacao","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceIntegrationTest$registrarAvaliacao","deveRegistrarAvaliacaoComSucesso","deveRegistrarAvaliacaoComSucesso()",""
"passed","Thu Mar 21 00:11:01 BRT 2024","Thu Mar 21 00:11:01 BRT 2024","191","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerTest","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerTest","deveReservarMesaComSucesso","deveReservarMesaComSucesso()",""
"passed","Thu Mar 21 00:01:44 BRT 2024","Thu Mar 21 00:01:45 BRT 2024","400","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerIntegrationTest.registrarAvaliacao","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerIntegrationTest$registrarAvaliacao","deveLancarExceptionQuandoTentarRegistrarAvaliacaoParaRestauranteInexistente","deveLancarExceptionQuandoTentarRegistrarAvaliacaoParaRestauranteInexistente()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","5","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceTest.findAll","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceTest$findAll","deveRetornarTodasAsAvaliacoesComSucesso","deveRetornarTodasAsAvaliacoesComSucesso()",""
"passed","Thu Mar 21 00:01:59 BRT 2024","Thu Mar 21 00:02:00 BRT 2024","704","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest.findAll","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest$findAll","deveLancarExceptionAoMandarRestauranteInexistente","deveLancarExceptionAoMandarRestauranteInexistente()",""
"passed","Thu Mar 21 00:10:20 BRT 2024","Thu Mar 21 00:10:22 BRT 2024","2642","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","deveLancarExceptionAoTentarReservarMesaComRestauranteSemLugaresDisponiveis","deveLancarExceptionAoTentarReservarMesaComRestauranteSemLugaresDisponiveis()",""
"passed","Thu Mar 21 00:11:02 BRT 2024","Thu Mar 21 00:11:02 BRT 2024","11","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerTest","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerTest","deveRetornarUmaReservaComSucesso","deveRetornarUmaReservaComSucesso()",""
"passed","Thu Mar 21 00:10:53 BRT 2024","Thu Mar 21 00:10:53 BRT 2024","21","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceTest","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceTest","deveRemoverReservaComSucesso","deveRemoverReservaComSucesso()",""
"passed","Thu Mar 21 00:10:23 BRT 2024","Thu Mar 21 00:10:24 BRT 2024","1429","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","deveLancarExceptionAoTentarReservarMesaComRestauranteSemHorarioDisponivel","deveLancarExceptionAoTentarReservarMesaComRestauranteSemHorarioDisponivel()",""
"passed","Thu Mar 21 00:10:43 BRT 2024","Thu Mar 21 00:10:46 BRT 2024","2433","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceIntegrationTest.findAll","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceIntegrationTest$findAll","deveRetornarTodasAsAvaliacoesComSucesso","deveRetornarTodasAsAvaliacoesComSucesso()",""
"passed","Thu Mar 21 00:01:44 BRT 2024","Thu Mar 21 00:01:44 BRT 2024","428","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerIntegrationTest.registrarAvaliacao","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerIntegrationTest$registrarAvaliacao","deveLancarExceptionQuandoTentarRegistrarAvaliacaoComPontuacaoMenorQue0","deveLancarExceptionQuandoTentarRegistrarAvaliacaoComPontuacaoMenorQue0()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","4","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","deveLancarExcecaoAoBuscarNenhumParametroRestauranteInexistente","deveLancarExcecaoAoBuscarNenhumParametroRestauranteInexistente()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","19","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","deveLancarExcecaoAoSalvarRestauranteComNomeVazio","deveLancarExcecaoAoSalvarRestauranteComNomeVazio()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","12","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","devePermitirBuscarRestaurantePorNome","devePermitirBuscarRestaurantePorNome()",""
"passed","Thu Mar 21 00:01:42 BRT 2024","Thu Mar 21 00:01:44 BRT 2024","1651","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerIntegrationTest.registrarAvaliacao","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerIntegrationTest$registrarAvaliacao","deveRegistrarAvaliacaoComSucesso","deveRegistrarAvaliacaoComSucesso()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","19","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","devePermitirDeletarRestaurantes","devePermitirDeletarRestaurantes()",""
"passed","Thu Mar 21 00:01:51 BRT 2024","Thu Mar 21 00:01:52 BRT 2024","1230","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest.deleteById","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest$deleteById","deveExcluirReservaComSucesso","deveExcluirReservaComSucesso()",""
"passed","Thu Mar 21 00:11:01 BRT 2024","Thu Mar 21 00:11:01 BRT 2024","141","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerTest","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerTest","deveExcluirUmaReservaComSucesso","deveExcluirUmaReservaComSucesso()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","11","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","devePermitirRegistrarRestaurante","devePermitirRegistrarRestaurante()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","6","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceTest.registrarAvaliacao","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceTest$registrarAvaliacao","deveLancarExceptionAoTentarRegistrarAvaliacaoComPontuacaoAbaixoDe0","deveLancarExceptionAoTentarRegistrarAvaliacaoComPontuacaoAbaixoDe0()",""
