timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1711329800754,4006,DELETE Restaurantes,404,,jp@gc - Stepping Thread Group 1-7,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]04

****** comparison: [[[2]]]04

/",888,242,9,9,https://findfoodback-27ce6eea96b1.herokuapp.com/api/restaurantes/122,4006,0,3706
1711329794754,10006,DELETE Restaurantes,404,,jp@gc - Stepping Thread Group 1-4,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]04

****** comparison: [[[2]]]04

/",888,242,9,9,https://findfoodback-27ce6eea96b1.herokuapp.com/api/restaurantes/122,10006,0,9707
1711329796754,8007,DELETE Restaurantes,404,,jp@gc - Stepping Thread Group 1-5,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]04

****** comparison: [[[2]]]04

/",888,242,9,9,https://findfoodback-27ce6eea96b1.herokuapp.com/api/restaurantes/122,8006,0,7706
1711329792753,12006,DELETE Restaurantes,404,,jp@gc - Stepping Thread Group 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]04

****** comparison: [[[2]]]04

/",888,242,9,9,https://findfoodback-27ce6eea96b1.herokuapp.com/api/restaurantes/122,11998,0,11706
1711329802754,2007,DELETE Restaurantes,404,,jp@gc - Stepping Thread Group 1-8,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]04

****** comparison: [[[2]]]04

/",888,242,9,9,https://findfoodback-27ce6eea96b1.herokuapp.com/api/restaurantes/122,1998,0,1707
1711329798754,6007,DELETE Restaurantes,404,,jp@gc - Stepping Thread Group 1-6,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]04

****** comparison: [[[2]]]04

/",888,242,9,9,https://findfoodback-27ce6eea96b1.herokuapp.com/api/restaurantes/122,6007,0,5706
1711329788852,15909,DELETE Restaurantes,404,,jp@gc - Stepping Thread Group 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]04

****** comparison: [[[2]]]04

/",888,242,9,9,https://findfoodback-27ce6eea96b1.herokuapp.com/api/restaurantes/122,15900,0,15604
1711329790753,14097,DELETE Restaurantes,404,,jp@gc - Stepping Thread Group 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]04

****** comparison: [[[2]]]04

/",888,242,9,9,https://findfoodback-27ce6eea96b1.herokuapp.com/api/restaurantes/122,14086,0,13702
1711329804764,167,GET Restaurantes,404,,jp@gc - Stepping Thread Group 1-4,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",884,216,9,9,https://findfoodback-27ce6eea96b1.herokuapp.com/api/restaurantes,167,0,0
1711329804765,166,GET Restaurantes,404,,jp@gc - Stepping Thread Group 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",884,216,9,9,https://findfoodback-27ce6eea96b1.herokuapp.com/api/restaurantes,166,0,0
